alpha3code,image_timestamp,avg_ssm_mm,avg_susm_mm,month,year,platform,country,country_clean,alpha2code,numeric,continet_code,area_km2
BLZ,2017-07-08 12:00:00+00:00,20.7830753326416,135.62655639648438,7,2017,initative20x20,Belize,Belize,BZ,84,NA,22965.0
BLZ,2017-07-11 12:00:00+00:00,20.05880355834961,130.69235229492188,7,2017,initative20x20,Belize,Belize,BZ,84,NA,22965.0
BLZ,2017-07-14 12:00:00+00:00,17.607913970947266,125.66415405273438,7,2017,initative20x20,Belize,Belize,BZ,84,NA,22965.0
BLZ,2017-07-17 12:00:00+00:00,15.973189353942871,115.08539581298828,7,2017,initative20x20,Belize,Belize,BZ,84,NA,22965.0
BLZ,2017-07-20 12:00:00+00:00,19.972557067871094,111.83014678955078,7,2017,initative20x20,Belize,Belize,BZ,84,NA,22965.0
BLZ,2017-07-23 12:00:00+00:00,20.557811737060547,121.14281463623047,7,2017,initative20x20,Belize,Belize,BZ,84,NA,22965.0
BLZ,2017-07-26 12:00:00+00:00,18.26995086669922,122.18412017822266,7,2017,initative20x20,Belize,Belize,BZ,84,NA,22965.0
BLZ,2017-07-29 12:00:00+00:00,15.144155502319336,112.29631805419922,7,2017,initative20x20,Belize,Belize,BZ,84,NA,22965.0
BLZ,2017-08-01 12:00:00+00:00,13.619039535522461,101.65216827392578,8,2017,initative20x20,Belize,Belize,BZ,84,NA,22965.0
BLZ,2017-08-04 12:00:00+00:00,18.314456939697266,99.1923599243164,8,2017,initative20x20,Belize,Belize,BZ,84,NA,22965.0
BLZ,2017-08-07 12:00:00+00:00,22.64556121826172,115.14982604980469,8,2017,initative20x20,Belize,Belize,BZ,84,NA,22965.0
BLZ,2017-08-10 12:00:00+00:00,19.2424259185791,125.2777099609375,8,2017,initative20x20,Belize,Belize,BZ,84,NA,22965.0
BLZ,2017-08-13 12:00:00+00:00,18.979333877563477,118.98853302001953,8,2017,initative20x20,Belize,Belize,BZ,84,NA,22965.0
BLZ,2017-08-16 12:00:00+00:00,16.064754486083984,113.8486099243164,8,2017,initative20x20,Belize,Belize,BZ,84,NA,22965.0
BLZ,2017-08-19 12:00:00+00:00,19.388029098510742,107.61914825439453,8,2017,initative20x20,Belize,Belize,BZ,84,NA,22965.0
BLZ,2017-08-22 12:00:00+00:00,18.67267417907715,112.30799865722656,8,2017,initative20x20,Belize,Belize,BZ,84,NA,22965.0
BLZ,2017-08-25 12:00:00+00:00,15.894646644592285,108.52313232421875,8,2017,initative20x20,Belize,Belize,BZ,84,NA,22965.0
BLZ,2017-08-28 12:00:00+00:00,13.385163307189941,99.66036224365234,8,2017,initative20x20,Belize,Belize,BZ,84,NA,22965.0
BLZ,2017-08-31 12:00:00+00:00,19.62106704711914,107.4363021850586,8,2017,initative20x20,Belize,Belize,BZ,84,NA,22965.0
BLZ,2017-09-03 12:00:00+00:00,22.82500648498535,130.0985870361328,9,2017,initative20x20,Belize,Belize,BZ,84,NA,22965.0
BLZ,2017-09-06 12:00:00+00:00,17.477405548095703,125.17993927001953,9,2017,initative20x20,Belize,Belize,BZ,84,NA,22965.0
BLZ,2017-09-09 12:00:00+00:00,15.571701049804688,114.26432037353516,9,2017,initative20x20,Belize,Belize,BZ,84,NA,22965.0
BLZ,2017-09-12 12:00:00+00:00,14.96925163269043,105.07069396972656,9,2017,initative20x20,Belize,Belize,BZ,84,NA,22965.0
BLZ,2017-09-15 12:00:00+00:00,13.702230453491211,96.64909362792969,9,2017,initative20x20,Belize,Belize,BZ,84,NA,22965.0
BLZ,2017-09-18 12:00:00+00:00,18.530658721923828,95.17022705078125,9,2017,initative20x20,Belize,Belize,BZ,84,NA,22965.0
BLZ,2017-09-21 12:00:00+00:00,13.766378402709961,96.8981704711914,9,2017,initative20x20,Belize,Belize,BZ,84,NA,22965.0
BLZ,2017-09-24 12:00:00+00:00,14.068826675415039,89.46174621582031,9,2017,initative20x20,Belize,Belize,BZ,84,NA,22965.0
BLZ,2017-09-27 12:00:00+00:00,14.275162696838379,84.79109191894531,9,2017,initative20x20,Belize,Belize,BZ,84,NA,22965.0
BLZ,2017-09-30 12:00:00+00:00,21.666522979736328,100.70085144042969,9,2017,initative20x20,Belize,Belize,BZ,84,NA,22965.0
BLZ,2017-10-03 12:00:00+00:00,24.198001861572266,133.22564697265625,10,2017,initative20x20,Belize,Belize,BZ,84,NA,22965.0
BLZ,2017-10-06 12:00:00+00:00,22.157352447509766,137.5526123046875,10,2017,initative20x20,Belize,Belize,BZ,84,NA,22965.0
BLZ,2017-10-09 12:00:00+00:00,21.12181854248047,131.47142028808594,10,2017,initative20x20,Belize,Belize,BZ,84,NA,22965.0
BLZ,2017-10-12 12:00:00+00:00,23.32831573486328,133.81263732910156,10,2017,initative20x20,Belize,Belize,BZ,84,NA,22965.0
BLZ,2017-10-15 12:00:00+00:00,23.123455047607422,136.44338989257812,10,2017,initative20x20,Belize,Belize,BZ,84,NA,22965.0
BLZ,2017-10-18 12:00:00+00:00,22.89982795715332,137.5994873046875,10,2017,initative20x20,Belize,Belize,BZ,84,NA,22965.0
BLZ,2017-10-21 12:00:00+00:00,24.786373138427734,138.71878051757812,10,2017,initative20x20,Belize,Belize,BZ,84,NA,22965.0
BLZ,2017-10-24 12:00:00+00:00,24.12156867980957,140.4628448486328,10,2017,initative20x20,Belize,Belize,BZ,84,NA,22965.0
BLZ,2017-10-27 12:00:00+00:00,20.421831130981445,135.82073974609375,10,2017,initative20x20,Belize,Belize,BZ,84,NA,22965.0
BLZ,2017-10-30 12:00:00+00:00,18.704561233520508,126.96819305419922,10,2017,initative20x20,Belize,Belize,BZ,84,NA,22965.0
BLZ,2017-11-02 12:00:00+00:00,18.042007446289062,118.62662506103516,11,2017,initative20x20,Belize,Belize,BZ,84,NA,22965.0
BLZ,2017-11-05 12:00:00+00:00,16.105533599853516,112.1965103149414,11,2017,initative20x20,Belize,Belize,BZ,84,NA,22965.0
BLZ,2017-11-08 12:00:00+00:00,14.850859642028809,103.58392333984375,11,2017,initative20x20,Belize,Belize,BZ,84,NA,22965.0
BLZ,2017-11-11 12:00:00+00:00,21.25397300720215,116.9140625,11,2017,initative20x20,Belize,Belize,BZ,84,NA,22965.0
