country,country_clean,area_miles2,area_km2,tota_area_rank,source
Montenegro,Montenegro,5333,13812,161,https://www.britannica.com/topic/list-of-the-total-areas-of-the-worlds-countries-dependencies-and-territories-2130540
Morocco,Morocco,169827,439850,58,https://www.britannica.com/topic/list-of-the-total-areas-of-the-worlds-countries-dependencies-and-territories-2130540
Mozambique,Mozambique,308642,799380,36,https://www.britannica.com/topic/list-of-the-total-areas-of-the-worlds-countries-dependencies-and-territories-2130540
Myanmar (Burma),Myanmar (Burma),261219,676533,40,https://www.britannica.com/topic/list-of-the-total-areas-of-the-worlds-countries-dependencies-and-territories-2130540
Namibia,Namibia,318261,824292,35,https://www.britannica.com/topic/list-of-the-total-areas-of-the-worlds-countries-dependencies-and-territories-2130540
Nauru,Nauru,8.1,21.1,221,https://www.britannica.com/topic/list-of-the-total-areas-of-the-worlds-countries-dependencies-and-territories-2130540
Nepal,Nepal,56827,147181,95,https://www.britannica.com/topic/list-of-the-total-areas-of-the-worlds-countries-dependencies-and-territories-2130540
Netherlands,Netherlands,13143,34040,134,https://www.britannica.com/topic/list-of-the-total-areas-of-the-worlds-countries-dependencies-and-territories-2130540
New Caledonia,New Caledonia,7172,18576,155,https://www.britannica.com/topic/list-of-the-total-areas-of-the-worlds-countries-dependencies-and-territories-2130540
New Zealand,New Zealand,103517,268107,75,https://www.britannica.com/topic/list-of-the-total-areas-of-the-worlds-countries-dependencies-and-territories-2130540
Nicaragua,Nicaragua,50337,130373,98,https://www.britannica.com/topic/list-of-the-total-areas-of-the-worlds-countries-dependencies-and-territories-2130540
Niger,Niger (the),489191,1267000,22,https://www.britannica.com/topic/list-of-the-total-areas-of-the-worlds-countries-dependencies-and-territories-2130540
Nigeria,Nigeria,356669,923769,32,https://www.britannica.com/topic/list-of-the-total-areas-of-the-worlds-countries-dependencies-and-territories-2130540
North Macedonia,Republic of North Macedonia,9928,25713,149,https://www.britannica.com/topic/list-of-the-total-areas-of-the-worlds-countries-dependencies-and-territories-2130540
